#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 175 | 0.000003900s | 16 B
                 176 | 0.000004100s | 16 B
                 177 | 0.000005500s | 16 B
                 178 | 0.000004900s | 16 B
                 179 | 0.000004600s | 16 B
                 180 | 0.000003500s | 16 B
                 181 | 0.000005600s | 16 B
                 182 | 0.000004400s | 16 B
                 183 | 0.000004500s | 16 B
                 184 | 0.000004200s | 16 B
                 185 | 0.000004300s | 16 B
                 186 | 0.000003900s | 24 B
                 187 | 0.000003600s | 24 B
                 188 | 0.000003700s | 24 B
                 189 | 0.000004000s | 24 B
                 190 | 0.000003400s | 24 B
                 191 | 0.000004200s | 24 B
                 192 | 0.000003500s | 24 B
                 193 | 0.000003700s | 24 B
                 194 | 0.000003700s | 24 B
                 195 | 0.000003900s | 24 B
                 196 | 0.000003800s | 24 B
                 197 | 0.000003900s | 24 B
                 198 | 0.000004900s | 24 B
                 199 | 0.000012900s | 24 B
                 200 | 0.000003900s | 24 B
                 201 | 0.000004000s | 24 B
                 202 | 0.000004000s | 24 B
                 203 | 0.000004100s | 24 B
                 204 | 0.000003500s | 24 B
                 205 | 0.000004100s | 24 B
                 206 | 0.000003300s | 24 B
                 207 | 0.000005200s | 24 B
                 208 | 0.000003200s | 24 B
                 209 | 0.000003400s | 24 B
                 210 | 0.000004200s | 24 B
                 211 | 0.000003600s | 24 B
                 212 | 0.000003300s | 24 B
                 213 | 0.000004100s | 24 B
                 214 | 0.000004100s | 24 B
                 215 | 0.000003500s | 24 B
                 216 | 0.000003900s | 24 B
                 217 | 0.000004000s | 24 B
                 218 | 0.000003600s | 24 B
                 219 | 0.000003500s | 24 B
                 220 | 0.000003900s | 24 B
                 221 | 0.000004400s | 24 B
                 222 | 0.000004000s | 24 B
                 223 | 0.000004900s | 24 B
                 224 | 0.000003100s | 24 B
                 225 | 0.000004700s | 24 B
                 226 | 0.000003500s | 24 B
                 227 | 0.000004700s | 24 B
                 228 | 0.000005500s | 24 B
                 229 | 0.000004200s | 24 B
                 230 | 0.000012500s | 24 B
                 231 | 0.000005300s | 24 B
                 232 | 0.000003900s | 24 B
                 233 | 0.000004600s | 24 B
                 234 | 0.000004400s | 24 B
                 235 | 0.000004500s | 24 B
                 236 | 0.000004100s | 24 B
                 237 | 0.000005700s | 24 B
                 238 | 0.000005500s | 24 B
                 239 | 0.000003900s | 24 B
                 240 | 0.000004000s | 24 B
                 241 | 0.000003900s | 24 B
                 242 | 0.000004300s | 24 B
                 243 | 0.000004200s | 24 B
                 244 | 0.000003500s | 24 B
                 245 | 0.000004300s | 24 B
                 246 | 0.000004300s | 24 B
                 247 | 0.000004400s | 24 B
                 248 | 0.000004600s | 24 B
                 249 | 0.000004400s | 24 B
                 250 | 0.000004400s | 24 B
                 251 | 0.000004500s | 24 B
                 252 | 0.000005300s | 24 B
                 253 | 0.000003700s | 24 B
                 254 | 0.000005400s | 24 B
                 255 | 0.000005800s | 24 B
                 256 | 0.000005800s | 24 B
                 257 | 0.000005300s | 24 B
                 258 | 0.000004500s | 24 B
                 259 | 0.000006300s | 24 B
                 260 | 0.000014100s | 24 B
                 261 | 0.000004000s | 24 B
                 262 | 0.000004600s | 24 B
