#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 533 | 0.000006700s | 48 B
                 534 | 0.000004600s | 48 B
                 535 | 0.000006400s | 48 B
                 536 | 0.000005500s | 48 B
                 537 | 0.000005800s | 48 B
                 538 | 0.000005800s | 48 B
                 539 | 0.000005200s | 48 B
                 540 | 0.000006400s | 48 B
                 541 | 0.000006400s | 48 B
                 542 | 0.000005800s | 48 B
                 543 | 0.000005800s | 48 B
                 544 | 0.000005600s | 48 B
                 545 | 0.000005800s | 48 B
                 546 | 0.000012900s | 48 B
                 547 | 0.000006000s | 48 B
                 548 | 0.000005800s | 48 B
                 549 | 0.000004700s | 48 B
                 550 | 0.000006000s | 48 B
                 551 | 0.000014100s | 48 B
                 552 | 0.000006300s | 48 B
                 553 | 0.000005800s | 48 B
                 554 | 0.000005700s | 48 B
                 555 | 0.000005600s | 56 B
                 556 | 0.000005300s | 56 B
                 557 | 0.000006100s | 56 B
                 558 | 0.000006000s | 56 B
                 559 | 0.000004900s | 56 B
                 560 | 0.000005600s | 56 B
                 561 | 0.000007800s | 56 B
                 562 | 0.000005200s | 56 B
                 563 | 0.000006200s | 56 B
                 564 | 0.000005500s | 56 B
                 565 | 0.000006200s | 56 B
                 566 | 0.000007600s | 56 B
                 567 | 0.000005900s | 56 B
                 568 | 0.000005900s | 56 B
                 569 | 0.000006900s | 56 B
                 570 | 0.000005800s | 56 B
                 571 | 0.000005300s | 56 B
                 572 | 0.000006000s | 56 B
                 573 | 0.000005000s | 56 B
                 574 | 0.000005900s | 56 B
                 575 | 0.000005600s | 56 B
                 576 | 0.000005700s | 56 B
                 577 | 0.000005500s | 56 B
                 578 | 0.000005000s | 56 B
                 579 | 0.000006100s | 56 B
                 580 | 0.000018100s | 56 B
                 581 | 0.000005300s | 56 B
                 582 | 0.000005900s | 56 B
                 583 | 0.000007700s | 56 B
                 584 | 0.000012600s | 56 B
                 585 | 0.000005900s | 56 B
                 586 | 0.000005400s | 56 B
                 587 | 0.000006200s | 56 B
                 588 | 0.000006000s | 56 B
                 589 | 0.000006100s | 56 B
                 590 | 0.000006000s | 56 B
                 591 | 0.000006200s | 56 B
                 592 | 0.000007800s | 56 B
                 593 | 0.000005300s | 56 B
                 594 | 0.000006200s | 56 B
                 595 | 0.000008200s | 56 B
                 596 | 0.000006100s | 56 B
                 597 | 0.000006100s | 56 B
                 598 | 0.000007200s | 56 B
                 599 | 0.000007200s | 56 B
                 600 | 0.000007400s | 56 B
                 601 | 0.000007100s | 56 B
                 602 | 0.000005800s | 56 B
                 603 | 0.000005000s | 56 B
                 604 | 0.000004700s | 56 B
                 605 | 0.000004900s | 56 B
                 606 | 0.000005100s | 56 B
                 607 | 0.000005200s | 56 B
                 608 | 0.000004900s | 56 B
                 609 | 0.000004900s | 56 B
                 610 | 0.000005000s | 56 B
                 611 | 0.000005800s | 56 B
                 612 | 0.000005200s | 56 B
                 613 | 0.000007100s | 56 B
                 614 | 0.000005200s | 56 B
                 615 | 0.000005600s | 56 B
                 616 | 0.000005500s | 56 B
                 617 | 0.000005700s | 56 B
                 618 | 0.000005400s | 56 B
                 619 | 0.000007000s | 56 B
                 620 | 0.000005100s | 56 B
                 621 | 0.000005200s | 56 B
                 622 | 0.000004800s | 56 B
                 623 | 0.000005500s | 56 B
                 624 | 0.000005700s | 56 B
                 625 | 0.000006800s | 56 B
                 626 | 0.000006500s | 56 B
                 627 | 0.000006300s | 56 B
                 628 | 0.000007100s | 56 B
                 629 | 0.000007100s | 56 B
                 630 | 0.000005200s | 56 B
                 631 | 0.000004700s | 56 B
                 632 | 0.000005500s | 56 B
                 633 | 0.000005200s | 56 B
                 634 | 0.000005600s | 56 B
                 635 | 0.000006800s | 56 B
                 636 | 0.000005400s | 56 B
                 637 | 0.000005600s | 56 B
                 638 | 0.000005300s | 56 B
                 639 | 0.000005300s | 56 B
                 640 | 0.000004800s | 56 B
                 641 | 0.000005000s | 56 B
                 642 | 0.000006600s | 56 B
                 643 | 0.000005400s | 56 B
                 644 | 0.000005000s | 56 B
                 645 | 0.000005400s | 56 B
                 646 | 0.000005600s | 56 B
                 647 | 0.000005600s | 64 B
                 648 | 0.000005400s | 64 B
                 649 | 0.000006700s | 64 B
                 650 | 0.000005800s | 64 B
                 651 | 0.000004500s | 64 B
                 652 | 0.000022900s | 64 B
                 653 | 0.000006000s | 64 B
                 654 | 0.000005800s | 64 B
                 655 | 0.000006100s | 64 B
                 656 | 0.000005500s | 64 B
                 657 | 0.000004400s | 64 B
                 658 | 0.000004100s | 64 B
                 659 | 0.000021000s | 64 B
                 660 | 0.000005900s | 64 B
                 661 | 0.000005700s | 64 B
                 662 | 0.000005600s | 64 B
                 663 | 0.000005600s | 64 B
                 664 | 0.000005400s | 64 B
                 665 | 0.000004600s | 64 B
                 666 | 0.000004600s | 64 B
                 667 | 0.000004900s | 64 B
                 668 | 0.000004300s | 64 B
                 669 | 0.000004600s | 64 B
                 670 | 0.000020400s | 64 B
                 671 | 0.000005000s | 64 B
                 672 | 0.000005500s | 64 B
                 673 | 0.000005000s | 64 B
                 674 | 0.000004900s | 64 B
                 675 | 0.000004400s | 64 B
                 676 | 0.000004700s | 64 B
                 677 | 0.000005200s | 64 B
                 678 | 0.000004700s | 64 B
                 679 | 0.000004900s | 64 B
                 680 | 0.000004700s | 64 B
                 681 | 0.000003900s | 64 B
                 682 | 0.000004800s | 64 B
                 683 | 0.000004600s | 64 B
                 684 | 0.000003900s | 64 B
                 685 | 0.000005100s | 64 B
                 686 | 0.000003600s | 64 B
                 687 | 0.000005700s | 64 B
                 688 | 0.000004900s | 64 B
                 689 | 0.000005100s | 64 B
                 690 | 0.000006100s | 64 B
                 691 | 0.000004600s | 64 B
                 692 | 0.000004900s | 64 B
                 693 | 0.000005100s | 64 B
                 694 | 0.000005100s | 64 B
                 695 | 0.000005200s | 64 B
                 696 | 0.000006800s | 64 B
                 697 | 0.000004700s | 64 B
                 698 | 0.000005200s | 64 B
                 699 | 0.000005000s | 64 B
                 700 | 0.000004900s | 64 B
                 701 | 0.000004800s | 64 B
                 702 | 0.000005100s | 64 B
                 703 | 0.000004900s | 64 B
                 704 | 0.000004300s | 64 B
                 705 | 0.000004900s | 64 B
                 706 | 0.000020600s | 64 B
                 707 | 0.000004300s | 64 B
                 708 | 0.000004700s | 64 B
                 709 | 0.000004200s | 64 B
                 710 | 0.000004900s | 64 B
                 711 | 0.000004100s | 64 B
                 712 | 0.000003700s | 64 B
                 713 | 0.000005000s | 64 B
                 714 | 0.000004900s | 64 B
                 715 | 0.000020700s | 64 B
                 716 | 0.000004900s | 64 B
                 717 | 0.000004100s | 64 B
                 718 | 0.000005500s | 64 B
                 719 | 0.000005000s | 64 B
                 720 | 0.000004400s | 64 B
                 721 | 0.000005000s | 64 B
                 722 | 0.000004600s | 64 B
                 723 | 0.000004100s | 64 B
                 724 | 0.000004500s | 64 B
                 725 | 0.000004700s | 64 B
                 726 | 0.000004800s | 64 B
                 727 | 0.000004100s | 64 B
                1804 | 0.000010000s | 160 B
                2881 | 0.000010800s | 256 B
                3958 | 0.000018100s | 344 B
                5035 | 0.000068300s | 440 B
                6112 | 0.000043300s | 536 B
                7189 | 0.000048600s | 624 B
                8266 | 0.000134700s | 720 B
                9343 | 0.000146600s | 816 B
               10420 | 0.000105400s | 912 B
               11497 | 0.000205000s | 1000 B
               12574 | 0.000148400s | 1096 B
               13651 | 0.000167100s | 1192 B
               14728 | 0.000280300s | 1280 B
               15805 | 0.000202200s | 1376 B
               16882 | 0.000338600s | 1472 B
               17959 | 0.000457000s | 1560 B
               19036 | 0.000447100s | 1656 B
               20113 | 0.000443600s | 1752 B
               21190 | 0.000456300s | 1840 B
               22267 | 0.000580700s | 1936 B
               23344 | 0.000499500s | 2032 B
               24421 | 0.000653800s | 2120 B
               25498 | 0.000458500s | 2216 B
               26575 | 0.000654900s | 2312 B
               27652 | 0.000544800s | 2400 B
               28729 | 0.000645900s | 2496 B
               29806 | 0.000609200s | 2592 B
               30883 | 0.000704500s | 2680 B
               31960 | 0.000644600s | 2776 B
               33037 | 0.001291000s | 2872 B
               34114 | 0.001333600s | 2968 B
               35191 | 0.001561300s | 3056 B
               36268 | 0.001352300s | 3152 B
               37345 | 0.001537700s | 3248 B
               38422 | 0.001548400s | 3336 B
               39499 | 0.001500400s | 3432 B
               40576 | 0.001706000s | 3528 B
               41653 | 0.001606500s | 3616 B
               42730 | 0.001706000s | 3712 B
               43807 | 0.001667300s | 3808 B
               44884 | 0.001642700s | 3896 B
               45961 | 0.002080400s | 3992 B
               47038 | 0.001744200s | 4088 B
