#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                   0 | 0.000041700s | 1 B
                   1 | 0.000020700s | 1 B
                   2 | 0.000010300s | 1 B
                   3 | 0.000007700s | 1 B
