#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                  68 | 0.000012800s | 6 B
                  69 | 0.000013300s | 6 B
                  70 | 0.000010800s | 6 B
                  71 | 0.000012400s | 7 B
                  72 | 0.000012200s | 7 B
                  73 | 0.000012200s | 7 B
                  74 | 0.000011800s | 7 B
                  75 | 0.000012500s | 7 B
                  76 | 0.000017300s | 7 B
                  77 | 0.000011200s | 7 B
                  78 | 0.000012300s | 7 B
                  79 | 0.000015800s | 7 B
                  80 | 0.000015800s | 7 B
                  81 | 0.000013600s | 7 B
                  82 | 0.000012700s | 7 B
                  83 | 0.000016800s | 8 B
                  84 | 0.000013400s | 8 B
                  85 | 0.000014600s | 8 B
                  86 | 0.000013100s | 8 B
                  87 | 0.000012600s | 8 B
                  88 | 0.000109700s | 8 B
                  89 | 0.000012000s | 8 B
                  90 | 0.000012700s | 8 B
                  91 | 0.000012100s | 8 B
                  92 | 0.000012200s | 8 B
                  93 | 0.000012600s | 8 B
                  94 | 0.000011900s | 9 B
                  95 | 0.000012700s | 9 B
                  96 | 0.000012100s | 9 B
                  97 | 0.000012900s | 9 B
                  98 | 0.000012900s | 9 B
                  99 | 0.000013600s | 9 B
                 100 | 0.000013100s | 9 B
                 101 | 0.000013500s | 9 B
                 102 | 0.000012800s | 9 B
                 103 | 0.000013600s | 9 B
                 104 | 0.000013200s | 9 B
                 105 | 0.000013200s | 9 B
                 106 | 0.000012600s | 10 B
                 107 | 0.000013400s | 10 B
                 108 | 0.000012700s | 10 B
                 109 | 0.000013200s | 10 B
                 110 | 0.000013600s | 10 B
                 111 | 0.000013400s | 10 B
                 112 | 0.000012800s | 10 B
                 113 | 0.000013900s | 10 B
                 114 | 0.000012800s | 10 B
                 115 | 0.000013400s | 10 B
                 116 | 0.000013400s | 10 B
                 117 | 0.000013200s | 11 B
                 118 | 0.000013200s | 11 B
                 119 | 0.000013800s | 11 B
                 120 | 0.000013300s | 11 B
                 121 | 0.000013600s | 11 B
                 122 | 0.000013400s | 11 B
                 123 | 0.000013700s | 11 B
                 124 | 0.000013000s | 11 B
                 125 | 0.000013700s | 11 B
                 126 | 0.000012900s | 11 B
                 127 | 0.000013100s | 11 B
                 128 | 0.000012400s | 11 B
                 129 | 0.000030600s | 12 B
                 130 | 0.000016300s | 12 B
                 131 | 0.000016100s | 12 B
                 132 | 0.000011800s | 12 B
                 133 | 0.000013400s | 12 B
                 134 | 0.000012800s | 12 B
                 135 | 0.000013700s | 12 B
                 136 | 0.000012900s | 12 B
                 137 | 0.000013700s | 12 B
                 138 | 0.000013800s | 12 B
                 139 | 0.000014100s | 12 B
                 140 | 0.000013400s | 13 B
                 141 | 0.000015100s | 13 B
                 142 | 0.000013100s | 13 B
                 143 | 0.000015600s | 13 B
                 144 | 0.000016000s | 13 B
                 145 | 0.000013300s | 13 B
                 146 | 0.000013300s | 13 B
                 147 | 0.000013500s | 13 B
                 148 | 0.000013000s | 13 B
                 149 | 0.000014600s | 13 B
                 150 | 0.000013000s | 13 B
                 151 | 0.000013600s | 13 B
                 152 | 0.000013000s | 14 B
                 153 | 0.000013700s | 14 B
                 154 | 0.000013200s | 14 B
                 155 | 0.000013600s | 14 B
                 156 | 0.000013300s | 14 B
                 157 | 0.000013500s | 14 B
                 158 | 0.000013000s | 14 B
                 159 | 0.000014200s | 14 B
                 160 | 0.000013300s | 14 B
                 161 | 0.000015000s | 14 B
                 162 | 0.000014200s | 14 B
                 163 | 0.000015300s | 15 B
                 164 | 0.000014400s | 15 B
                 165 | 0.000014700s | 15 B
                 166 | 0.000014800s | 15 B
                 167 | 0.000015000s | 15 B
                 168 | 0.000014400s | 15 B
                 169 | 0.000015000s | 15 B
                 170 | 0.000016500s | 15 B
                 171 | 0.000015700s | 15 B
                 172 | 0.000014800s | 15 B
                 173 | 0.000015000s | 15 B
                 174 | 0.000015000s | 15 B
                 175 | 0.000015000s | 16 B
                 176 | 0.000014100s | 16 B
                 177 | 0.000015200s | 16 B
                 178 | 0.000014500s | 16 B
                 179 | 0.000015700s | 16 B
                 180 | 0.000015000s | 16 B
                 181 | 0.000015500s | 16 B
                 182 | 0.000014700s | 16 B
                 183 | 0.000015100s | 16 B
                 184 | 0.000014900s | 16 B
                 185 | 0.000015500s | 16 B
                 186 | 0.000014900s | 16 B
                 187 | 0.000015400s | 17 B
                 188 | 0.000015100s | 17 B
                 189 | 0.000015300s | 17 B
                 190 | 0.000015300s | 17 B
                 191 | 0.000022300s | 17 B
                 192 | 0.000020900s | 17 B
                 193 | 0.000019600s | 17 B
                 194 | 0.000018600s | 17 B
                 195 | 0.000013600s | 17 B
                 196 | 0.000012200s | 17 B
                 197 | 0.000015600s | 17 B
                 198 | 0.000019800s | 18 B
                 199 | 0.000014000s | 18 B
                 200 | 0.000018900s | 18 B
                 201 | 0.000016600s | 18 B
                 202 | 0.000014600s | 18 B
                 203 | 0.000020200s | 18 B
                 204 | 0.000018700s | 18 B
                 205 | 0.000013900s | 18 B
                 206 | 0.000016600s | 18 B
                 207 | 0.000018900s | 18 B
                 208 | 0.000015500s | 18 B
                 209 | 0.000017200s | 18 B
                 210 | 0.000015200s | 19 B
                 211 | 0.000019600s | 19 B
                 212 | 0.000015000s | 19 B
                 213 | 0.000015300s | 19 B
                 214 | 0.000013700s | 19 B
                 215 | 0.000019800s | 19 B
                 216 | 0.000014900s | 19 B
                 217 | 0.000013600s | 19 B
                 218 | 0.000019800s | 19 B
                 219 | 0.000018400s | 19 B
                 220 | 0.000016800s | 19 B
                 221 | 0.000020100s | 20 B
                 222 | 0.000020700s | 20 B
                 223 | 0.000014200s | 20 B
                 224 | 0.000012700s | 20 B
                 225 | 0.000016500s | 20 B
                 226 | 0.000019100s | 20 B
                 227 | 0.000016200s | 20 B
                 228 | 0.000017000s | 20 B
                 229 | 0.000016000s | 20 B
                 230 | 0.000021800s | 20 B
                 231 | 0.000019600s | 20 B
                 232 | 0.000016300s | 20 B
                 233 | 0.000016100s | 21 B
                 234 | 0.000019300s | 21 B
                 235 | 0.000013800s | 21 B
                 236 | 0.000020700s | 21 B
                 237 | 0.000019500s | 21 B
                 238 | 0.000021500s | 21 B
                 239 | 0.000016700s | 21 B
                 240 | 0.000013400s | 21 B
                 241 | 0.000015800s | 21 B
                 242 | 0.000019700s | 21 B
                 243 | 0.000020200s | 21 B
                 244 | 0.000020500s | 22 B
                 245 | 0.000016300s | 22 B
                 246 | 0.000021200s | 22 B
                 247 | 0.000021300s | 22 B
                 248 | 0.000021100s | 22 B
                 249 | 0.000015300s | 22 B
                 250 | 0.000016200s | 22 B
                 251 | 0.000016300s | 22 B
                 252 | 0.000015900s | 22 B
                 253 | 0.000021200s | 22 B
                 254 | 0.000016100s | 22 B
                 255 | 0.000016400s | 22 B
                 256 | 0.000014600s | 23 B
                 257 | 0.000015600s | 23 B
                 258 | 0.000015800s | 23 B
                 259 | 0.000015600s | 23 B
                 260 | 0.000015200s | 23 B
                 261 | 0.000016100s | 23 B
                 262 | 0.000016100s | 23 B
