#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 323 | 0.000004300s | 32 B
                 324 | 0.000003900s | 32 B
                 325 | 0.000003600s | 32 B
                 326 | 0.000003700s | 32 B
                 327 | 0.000003600s | 32 B
                 328 | 0.000003900s | 32 B
                 329 | 0.000004000s | 32 B
                 330 | 0.000004000s | 32 B
                 331 | 0.000004100s | 32 B
                 332 | 0.000004000s | 32 B
                 333 | 0.000004100s | 32 B
                 334 | 0.000003900s | 32 B
                 335 | 0.000004100s | 32 B
                 336 | 0.000004000s | 32 B
                 337 | 0.000004100s | 32 B
                 338 | 0.000004100s | 32 B
                 339 | 0.000004000s | 32 B
                 340 | 0.000003500s | 32 B
                 341 | 0.000003600s | 32 B
                 342 | 0.000004100s | 32 B
                 343 | 0.000004000s | 32 B
                 344 | 0.000004100s | 32 B
                 345 | 0.000004100s | 32 B
                 346 | 0.000004100s | 32 B
                 347 | 0.000003700s | 32 B
                 348 | 0.000003600s | 32 B
                 349 | 0.000003500s | 32 B
                 350 | 0.000004700s | 32 B
                 351 | 0.000004600s | 32 B
                 352 | 0.000004100s | 32 B
                 353 | 0.000004000s | 32 B
                 354 | 0.000003500s | 32 B
                 355 | 0.000004200s | 32 B
                 356 | 0.000004200s | 32 B
                 357 | 0.000004200s | 32 B
                 358 | 0.000004100s | 32 B
                 359 | 0.000004200s | 32 B
                 360 | 0.000004200s | 32 B
                 361 | 0.000004900s | 32 B
                 362 | 0.000004300s | 32 B
                 363 | 0.000004100s | 32 B
                 364 | 0.000003600s | 32 B
                 365 | 0.000003700s | 32 B
                 366 | 0.000003900s | 32 B
                 367 | 0.000004700s | 32 B
                 368 | 0.000004700s | 32 B
                 369 | 0.000004500s | 32 B
                 370 | 0.000004700s | 32 B
                 371 | 0.000004100s | 48 B
                 372 | 0.000006100s | 48 B
                 373 | 0.000005000s | 48 B
                 374 | 0.000004900s | 48 B
                 375 | 0.000004700s | 48 B
                 376 | 0.000004700s | 48 B
                 377 | 0.000004700s | 48 B
                 378 | 0.000004500s | 48 B
                 379 | 0.000005100s | 48 B
                 380 | 0.000004500s | 48 B
                 381 | 0.000005100s | 48 B
                 382 | 0.000005100s | 48 B
                 383 | 0.000005700s | 48 B
                 384 | 0.000005100s | 48 B
                 385 | 0.000005100s | 48 B
                 386 | 0.000005200s | 48 B
                 387 | 0.000005600s | 48 B
                 388 | 0.000005700s | 48 B
                 389 | 0.000005100s | 48 B
                 390 | 0.000006200s | 48 B
                 391 | 0.000005700s | 48 B
                 392 | 0.000006400s | 48 B
                 393 | 0.000005000s | 48 B
                 394 | 0.000004700s | 48 B
                 395 | 0.000005900s | 48 B
                 396 | 0.000005200s | 48 B
                 397 | 0.000004800s | 48 B
                 398 | 0.000006000s | 48 B
                 399 | 0.000006000s | 48 B
                 400 | 0.000005900s | 48 B
                 401 | 0.000005200s | 48 B
                 402 | 0.000005300s | 48 B
                 403 | 0.000005300s | 48 B
                 404 | 0.000005400s | 48 B
                 405 | 0.000004800s | 48 B
                 406 | 0.000005400s | 48 B
                 407 | 0.000005100s | 48 B
                 408 | 0.000004900s | 48 B
                 409 | 0.000005400s | 48 B
                 410 | 0.000005600s | 48 B
                 411 | 0.000006000s | 48 B
                 412 | 0.000005500s | 48 B
                 413 | 0.000005500s | 48 B
                 414 | 0.000005500s | 48 B
