#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 159 | 0.000007400s | 14 B
                 160 | 0.000001900s | 14 B
                 161 | 0.000002000s | 14 B
                 162 | 0.000001600s | 14 B
                 163 | 0.000005200s | 15 B
                 164 | 0.000001700s | 15 B
                 165 | 0.000002000s | 15 B
                 166 | 0.000001900s | 15 B
                 167 | 0.000002100s | 15 B
                 168 | 0.000002100s | 15 B
                 169 | 0.000002900s | 15 B
                 170 | 0.000002100s | 15 B
                 171 | 0.000002000s | 15 B
                 172 | 0.000001700s | 15 B
                 173 | 0.000002000s | 15 B
                 174 | 0.000001700s | 15 B
                 175 | 0.000002000s | 16 B
                 176 | 0.000001800s | 16 B
                 177 | 0.000002300s | 16 B
                 178 | 0.000001900s | 16 B
                 179 | 0.000002400s | 16 B
                 180 | 0.000002100s | 16 B
                 181 | 0.000002200s | 16 B
                 182 | 0.000001800s | 16 B
                 183 | 0.000002000s | 16 B
                 184 | 0.000001800s | 16 B
                 185 | 0.000002000s | 16 B
                 186 | 0.000001800s | 16 B
                 187 | 0.000002300s | 17 B
                 188 | 0.000002500s | 17 B
                 189 | 0.000002500s | 17 B
                 190 | 0.000002400s | 17 B
                 191 | 0.000002200s | 17 B
                 192 | 0.000001900s | 17 B
                 193 | 0.000002000s | 17 B
                 194 | 0.000001800s | 17 B
                 195 | 0.000002500s | 17 B
                 196 | 0.000002200s | 17 B
                 197 | 0.000002400s | 17 B
                 198 | 0.000002000s | 18 B
                 199 | 0.000002000s | 18 B
                 200 | 0.000001800s | 18 B
                 201 | 0.000002600s | 18 B
                 202 | 0.000002200s | 18 B
                 203 | 0.000002100s | 18 B
                 204 | 0.000001800s | 18 B
                 205 | 0.000002500s | 18 B
                 206 | 0.000002300s | 18 B
                 207 | 0.000002500s | 18 B
                 208 | 0.000001800s | 18 B
                 209 | 0.000001900s | 18 B
                 210 | 0.000001800s | 19 B
                 211 | 0.000002000s | 19 B
                 212 | 0.000001800s | 19 B
                 213 | 0.000002000s | 19 B
                 214 | 0.000001800s | 19 B
                 215 | 0.000002000s | 19 B
                 216 | 0.000002300s | 19 B
                 217 | 0.000002500s | 19 B
                 218 | 0.000001900s | 19 B
                 219 | 0.000002000s | 19 B
                 220 | 0.000002000s | 19 B
                 221 | 0.000002100s | 20 B
                 222 | 0.000001900s | 20 B
                 223 | 0.000002100s | 20 B
                 224 | 0.000001900s | 20 B
                 225 | 0.000002100s | 20 B
                 226 | 0.000002200s | 20 B
                 227 | 0.000002400s | 20 B
                 228 | 0.000001900s | 20 B
                 229 | 0.000002800s | 20 B
                 230 | 0.000002100s | 20 B
                 231 | 0.000002300s | 20 B
                 232 | 0.000001900s | 20 B
                 233 | 0.000002100s | 21 B
                 234 | 0.000001800s | 21 B
                 235 | 0.000002100s | 21 B
                 236 | 0.000002200s | 21 B
                 237 | 0.000002400s | 21 B
                 238 | 0.000002300s | 21 B
                 239 | 0.000002400s | 21 B
                 240 | 0.000001800s | 21 B
                 241 | 0.000001900s | 21 B
                 242 | 0.000001800s | 21 B
                 243 | 0.000002000s | 21 B
                 244 | 0.000001900s | 22 B
                 245 | 0.000002000s | 22 B
                 246 | 0.000002200s | 22 B
                 247 | 0.000002500s | 22 B
                 248 | 0.000001900s | 22 B
                 249 | 0.000002500s | 22 B
                 250 | 0.000002300s | 22 B
                 251 | 0.000002600s | 22 B
                 252 | 0.000002300s | 22 B
                 253 | 0.000002500s | 22 B
                 254 | 0.000002000s | 22 B
                 255 | 0.000002100s | 22 B
                 256 | 0.000002200s | 23 B
                 257 | 0.000002400s | 23 B
                 258 | 0.000001900s | 23 B
                 259 | 0.000002200s | 23 B
                 260 | 0.000001800s | 23 B
                 261 | 0.000002400s | 23 B
                 262 | 0.000002200s | 23 B
                 263 | 0.000002100s | 23 B
                 264 | 0.000001900s | 23 B
                 265 | 0.000002100s | 23 B
                 266 | 0.000002200s | 23 B
                 267 | 0.000002500s | 24 B
                 268 | 0.000002000s | 24 B
                 269 | 0.000002100s | 24 B
                 270 | 0.000001900s | 24 B
                 271 | 0.000002100s | 24 B
                 272 | 0.000002200s | 24 B
                 273 | 0.000002400s | 24 B
                 274 | 0.000001800s | 24 B
                 275 | 0.000002000s | 24 B
                 276 | 0.000002100s | 24 B
                 277 | 0.000013600s | 24 B
